test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,14,0.529,1.034,0.476,0.336,0.567,1.041,0.487,0.298,0.791,1.103,0.563,7.65,0.791,1.103,0.563,6.854
4,14,0.586,1.016,0.532,0.725,0.593,1.032,0.583,0.687,0.93,1.11,0.755,8.636,0.93,1.11,0.755,7.904
7,14,0.636,1.026,0.624,1.018,0.679,1.04,0.613,0.878,0.898,1.06,0.773,2.912,0.895,1.062,0.784,3.621
10,14,0.707,1.036,0.673,1.283,0.694,1.046,0.634,1.279,0.897,1.051,0.807,4.325,0.888,1.05,0.802,4.291
13,14,0.778,1.052,0.644,1.774,0.71,1.049,0.611,2.457,0.907,1.059,0.802,3.941,0.904,1.059,0.802,3.573
16,14,0.831,1.057,0.675,1.652,0.751,1.052,0.638,1.548,0.918,1.05,0.797,4.215,0.904,1.056,0.806,4.129
test15,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,15,0.82,1.06,0.637,0.331,0.764,1.059,0.61,0.313,0.973,1.108,0.756,4.909,0.973,1.108,0.756,4.973
4,15,0.879,1.059,0.71,0.479,0.885,1.056,0.714,0.474,0.989,1.114,0.757,6.708,0.989,1.114,0.757,6.022
7,15,0.851,1.058,0.674,0.584,0.909,1.064,0.742,0.733,0.968,1.054,0.794,2.686,0.995,1.061,0.809,2.653
10,15,0.851,1.056,0.675,0.967,0.921,1.067,0.728,0.804,0.978,1.057,0.799,3.402,0.99,1.055,0.803,3.047
13,15,0.833,1.059,0.64,1.164,0.893,1.068,0.685,1.114,0.982,1.063,0.807,5.359,0.975,1.059,0.775,3.796
16,15,0.798,1.055,0.629,1.432,0.849,1.062,0.663,1.518,0.984,1.06,0.8,4.504,0.96,1.06,0.786,4.941
test16,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,16,0.468,1.021,0.449,0.208,0.473,1.025,0.424,0.293,0.564,1.105,0.403,7.117,0.564,1.105,0.403,6.933
4,16,0.551,1,0.531,0.516,0.516,1,0.543,0.582,0.819,1.105,0.688,6.72,0.819,1.105,0.688,6.716
7,16,0.61,1.017,0.595,0.856,0.576,1.01,0.529,0.693,0.934,1.059,0.794,3.386,0.934,1.065,0.789,3.747
10,16,0.701,1.034,0.601,1.271,0.625,1.026,0.588,1.075,0.943,1.057,0.816,3.095,0.923,1.052,0.781,3.861
13,16,0.752,1.041,0.622,7.361,0.781,1.04,0.646,5.737,0.948,1.064,0.811,18.505,0.947,1.054,0.808,11.758
16,16,0.831,1.049,0.686,5.197,0.824,1.049,0.649,4.657,0.943,1.055,0.799,14.442,0.944,1.055,0.806,13.715
test17,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,17,0.516,1.024,0.399,0.772,0.532,1.025,0.399,0.886,0.756,1.095,0.528,18.068,0.756,1.095,0.528,19.509
4,17,0.623,1,0.594,2.029,0.581,1.002,0.536,1.928,0.939,1.105,0.763,24.755,0.939,1.105,0.763,22.391
7,17,0.665,1.005,0.619,2.912,0.636,1.01,0.563,2.578,0.946,1.054,0.806,11.062,0.91,1.052,0.766,7.077
10,17,0.763,1.038,0.664,4.684,0.754,1.028,0.603,5.863,0.933,1.05,0.816,13.676,0.935,1.053,0.81,12.98
13,17,0.76,1.038,0.621,6.054,0.824,1.041,0.65,5.547,0.939,1.056,0.806,15.661,0.897,1.047,0.815,15.662
16,17,0.774,1.046,0.621,8.177,0.872,1.051,0.672,7.245,0.911,1.045,0.776,30.408,0.904,1.049,0.795,20.614
test18,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,18,0.931,1.077,0.732,1.984,0.946,1.077,0.741,1.275,0.978,1.119,0.758,23.56,0.978,1.119,0.758,23.201
4,18,0.922,1.072,0.731,2.497,0.866,1.067,0.715,1.561,0.981,1.119,0.757,30.046,0.981,1.119,0.757,28.012
7,18,0.922,1.071,0.744,3.222,0.787,1.058,0.706,3.683,0.986,1.062,0.817,12.274,0.989,1.055,0.832,12.279
10,18,0.887,1.064,0.723,4.498,0.866,1.066,0.718,4.531,0.97,1.065,0.813,11.759,0.98,1.063,0.822,12.12
13,18,0.886,1.064,0.734,4.142,0.853,1.066,0.678,4.052,0.973,1.065,0.817,14.81,0.982,1.07,0.799,14.942
16,18,0.882,1.062,0.723,5.722,0.921,1.074,0.731,4.909,0.976,1.066,0.803,13.87,0.983,1.065,0.812,17.606
test19,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,19,0.743,1.066,0.576,1.65,0.789,1.061,0.628,1.486,0.937,1.113,0.71,30.321,0.937,1.113,0.71,32.34
4,19,0.775,1.054,0.635,3.73,0.792,1.054,0.664,3.727,0.996,1.117,0.77,40.006,0.996,1.117,0.77,37.337
7,19,0.742,1.048,0.626,5.398,0.781,1.054,0.668,5.561,0.998,1.077,0.816,18.08,0.96,1.064,0.767,15.172
10,19,0.777,1.05,0.643,6.399,0.81,1.056,0.652,5.294,0.999,1.06,0.81,17.311,0.941,1.061,0.814,16.671
13,19,0.774,1.049,0.629,8.08,0.79,1.055,0.613,6.708,1,1.064,0.813,24.152,0.946,1.067,0.809,22.89
16,19,0.799,1.048,0.625,7.277,0.773,1.053,0.628,8.944,0.999,1.065,0.803,24.635,0.943,1.055,0.805,22.5
test20,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,20,0.55,1.038,0.484,1.381,0.578,1.049,0.486,1.234,0.687,1.107,0.486,29.248,0.687,1.107,0.486,28.127
4,20,0.579,1.019,0.538,2.554,0.638,1.029,0.575,3.22,0.893,1.1,0.75,35.826,0.893,1.1,0.75,34.85
7,20,0.633,1.026,0.581,4.581,0.655,1.03,0.593,3.353,0.917,1.049,0.819,12.633,0.924,1.054,0.811,12.003
10,20,0.637,1.022,0.553,4.642,0.704,1.038,0.617,4.967,0.92,1.05,0.8,17.265,0.924,1.044,0.801,18.01
13,20,0.643,1.031,0.537,7.412,0.781,1.055,0.652,6.627,0.874,1.033,0.782,22.404,0.888,1.051,0.793,21.128
16,20,0.698,1.04,0.598,1.865,0.765,1.049,0.637,1.405,0.931,1.059,0.805,4.712,0.891,1.044,0.796,4.558
test21,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,21,0.63,1.061,0.496,0.275,0.678,1.07,0.506,0.381,0.658,1.136,0.441,5.937,0.658,1.136,0.441,6.102
