test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
13,24,0.336,1.01,0.402,1.274,0.241,0.992,0.399,1.102,0.734,1.037,0.777,3.609,0.546,1.022,0.792,3.439
16,24,0.43,1.026,0.409,1.519,0.296,1.004,0.39,1.516,0.709,1.034,0.8,4.059,0.564,1.015,0.813,4.093
test25,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,25,0.962,1.073,0.764,0.289,0.967,1.075,0.764,0.351,0.982,1.113,0.766,4.484,0.982,1.113,0.766,4.405
4,25,0.924,1.064,0.71,0.436,0.972,1.074,0.76,0.47,0.983,1.114,0.762,4.637,0.983,1.114,0.762,4.616
7,25,0.911,1.063,0.715,0.544,0.925,1.069,0.728,0.64,0.742,0.985,0.815,2.552,0.986,1.061,0.811,2.55
10,25,0.912,1.062,0.711,0.931,0.923,1.063,0.751,0.992,0.804,1.012,0.786,3.064,0.961,1.051,0.807,3.074
13,25,0.924,1.063,0.72,1.276,0.928,1.065,0.749,1.28,0.906,1.05,0.798,3.425,1,1.073,0.814,3.341
16,25,0.92,1.062,0.695,1.481,0.926,1.066,0.739,1.116,0.919,1.058,0.815,3.973,1,1.062,0.813,4.034
test26,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,26,0.779,1.054,0.649,0.298,0.778,1.059,0.64,0.266,0.886,1.102,0.755,4.812,0.886,1.102,0.755,4.77
4,26,0.826,1.057,0.73,0.521,0.804,1.055,0.676,0.469,0.984,1.11,0.766,6.695,0.984,1.11,0.766,5.774
7,26,0.829,1.061,0.719,0.781,0.773,1.048,0.675,0.722,0.937,1.053,0.791,2.654,0.865,1.021,0.772,2.081
10,26,0.77,1.047,0.682,0.721,0.765,1.05,0.692,0.867,0.876,1.046,0.803,2.943,0.932,1.06,0.803,2.974
13,26,0.783,1.054,0.683,0.907,0.816,1.058,0.688,1.068,0.914,1.054,0.815,3.401,0.991,1.061,0.798,3.493
16,26,0.798,1.053,0.652,1.38,0.844,1.06,0.698,1.362,0.989,1.065,0.797,4.208,0.976,1.054,0.801,4.148
test27,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
