test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 12,  08 , 0.891, 1.056, 0.678, 1.020, 0.930, 1.063, 0.706, 0.899, 0.983, 1.057, 0.802, 3.372, 0.983, 1.048, 0.812, 3.307
 13,  08 , 0.892, 1.055, 0.665, 1.018, 0.926, 1.059, 0.713, 1.246, 0.987, 1.060, 0.797, 3.532, 0.991, 1.059, 0.800, 3.524
 14,  08 , 0.894, 1.059, 0.669, 1.218, 0.928, 1.063, 0.707, 1.111, 0.992, 1.063, 0.812, 3.693, 0.991, 1.065, 0.804, 3.650
 15,  08 , 0.872, 1.056, 0.655, 1.192, 0.935, 1.067, 0.709, 1.387, 0.992, 1.064, 0.798, 3.960, 0.992, 1.071, 0.797, 3.875
test09
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  09 , 0.827, 1.069, 0.650, 0.279, 0.829, 1.068, 0.685, 0.386, 0.888, 1.115, 0.686, 5.097, 0.888, 1.115, 0.686, 5.098
 02,  09 , 0.798, 1.057, 0.662, 0.468, 0.820, 1.064, 0.666, 0.371, 0.957, 1.115, 0.728, 5.385, 0.957, 1.115, 0.728, 5.379
 03,  09 , 0.787, 1.054, 0.652, 0.498, 0.781, 1.059, 0.643, 0.451, 0.997, 1.115, 0.768, 6.130, 0.997, 1.115, 0.768, 5.452
 04,  09 , 0.811, 1.060, 0.647, 0.603, 0.805, 1.059, 0.667, 0.598, 0.997, 1.116, 0.768, 5.846, 0.997, 1.116, 0.768, 5.822
 05,  09 , 0.811, 1.052, 0.649, 0.693, 0.796, 1.051, 0.673, 0.605, 0.997, 1.116, 0.767, 6.330, 0.997, 1.116, 0.767, 6.426
 06,  09 , 0.785, 1.049, 0.634, 0.680, 0.793, 1.051, 0.652, 0.586, 0.999, 1.060, 0.814, 2.440, 0.999, 1.069, 0.811, 2.484
 07,  09 , 0.793, 1.056, 0.626, 0.720, 0.791, 1.054, 0.628, 0.726, 0.979, 1.054, 0.829, 2.546, 0.997, 1.067, 0.810, 2.591
 08,  09 , 0.817, 1.055, 0.659, 0.903, 0.805, 1.053, 0.658, 0.905, 0.981, 1.065, 0.826, 2.649, 0.989, 1.059, 0.812, 2.705
 09,  09 , 0.813, 1.053, 0.668, 0.816, 0.824, 1.059, 0.671, 0.957, 0.981, 1.057, 0.821, 2.800, 0.998, 1.054, 0.802, 2.872
 10,  09 , 0.852, 1.060, 0.676, 0.988, 0.811, 1.059, 0.687, 0.957, 0.981, 1.061, 0.805, 2.931, 0.993, 1.054, 0.804, 2.994
 11,  09 , 0.821, 1.057, 0.656, 0.967, 0.785, 1.059, 0.671, 0.902, 0.938, 1.057, 0.801, 3.110, 0.994, 1.061, 0.803, 3.175
 12,  09 , 0.826, 1.056, 0.649, 1.149, 0.750, 1.053, 0.651, 0.947, 0.939, 1.064, 0.810, 3.295, 0.999, 1.065, 0.812, 3.319
 13,  09 , 0.797, 1.055, 0.628, 1.133, 0.747, 1.053, 0.628, 1.130, 0.924, 1.052, 0.790, 3.541, 0.997, 1.065, 0.799, 3.522
 14,  09 , 0.785, 1.052, 0.628, 1.350, 0.726, 1.050, 0.598, 1.324, 0.927, 1.058, 0.795, 3.708, 1.000, 1.057, 0.803, 3.685
 15,  09 , 0.788, 1.053, 0.625, 1.426, 0.718, 1.049, 0.591, 1.407, 0.927, 1.056, 0.811, 3.913, 0.985, 1.049, 0.797, 3.905
test10
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  10 , 0.886, 1.071, 0.672, 0.352, 0.936, 1.074, 0.713, 0.306, 0.974, 1.124, 0.738, 4.925, 0.974, 1.124, 0.738, 4.926
 02,  10 , 0.863, 1.063, 0.652, 0.455, 0.913, 1.071, 0.683, 0.458, 0.969, 1.125, 0.741, 5.330, 0.969, 1.125, 0.741, 5.342
 03,  10 , 0.853, 1.059, 0.661, 0.481, 0.964, 1.078, 0.740, 0.534, 0.971, 1.129, 0.739, 5.874, 0.971, 1.129, 0.739, 5.968
 04,  10 , 0.855, 1.065, 0.653, 0.602, 0.915, 1.075, 0.706, 0.536, 0.972, 1.130, 0.734, 6.613, 0.972, 1.130, 0.734, 6.672
 05,  10 , 0.849, 1.063, 0.658, 0.633, 0.917, 1.075, 0.710, 0.537, 0.972, 1.131, 0.733, 7.330, 0.972, 1.131, 0.733, 7.266
 06,  10 , 0.915, 1.079, 0.725, 0.599, 0.909, 1.070, 0.706, 0.586, 0.973, 1.070, 0.787, 2.516, 0.978, 1.071, 0.787, 2.603
 07,  10 , 0.912, 1.080, 0.712, 0.713, 0.915, 1.070, 0.683, 0.801, 0.979, 1.066, 0.811, 2.636, 0.981, 1.072, 0.814, 2.659
 08,  10 , 0.911, 1.077, 0.722, 0.838, 0.848, 1.061, 0.649, 0.645, 0.959, 1.071, 0.792, 2.761, 0.984, 1.076, 0.798, 2.743
 09,  10 , 0.866, 1.069, 0.700, 0.904, 0.841, 1.063, 0.640, 0.925, 0.959, 1.064, 0.792, 2.924, 0.979, 1.068, 0.813, 2.750
 10,  10 , 0.839, 1.066, 0.684, 0.905, 0.827, 1.063, 0.624, 1.002, 0.962, 1.063, 0.798, 3.072, 0.934, 1.063, 0.779, 2.976
